trnsx id;account_id;user_id;account_kind;date;random uhrzeit;day;transaction;reference;External account number; balance ;
100064;2001;1001;current account; 2024-09-09 07:58;07:58:44;Mo;-11.99;Papeterie pencil shop;DE99 3397 2911 5673 781 99;-274.71;
100063;2001;1001;current account; 2024-09-06 04:17;04:17:38;Fr;-75.00;savings plan;;-262.72;
100062;2001;1001;current account; 2024-09-05 21:19;21:19:01;Do;-250.00;savings plan;;-187.72;
100061;2001;1001;current account; 2024-09-04 08:23;08:23:17;Mi;76.51;moneyCollector: your friends reached your goal;DE99 4564 7578 4246 5951 99;62.28;
100060;2001;1001;current account; 2024-09-03 22:40;22:40:03;Di;85.39;MyPart of the Rent;DE99 2212 2305 4785 9692 99;-14.24;
100059;2001;1001;current account; 2024-09-02 13:09;13:09:35;Mo;-1200.00;monthly rent;DE99 2493 7517 5531 7311 99;-99.63;
100058;2001;1001;current account; 2024-08-31 01:57;03:05:26;Sa;-4.99;ALDii market;DE99 1024 4119 5233 1047 99;1100.37;
100057;2001;1001;current account; 2024-08-30 22:57;17:29:22;Fr;19.58;For the kebab yesterday;DE99 6561 9919 3860 3275 99;1105.36;
100056;2001;1001;current account; 2024-08-30 19:57;21:01:20;Fr;-110.87;supermarket depitpayment;DE99 2552 6045 484 5757 99;1085.79;
100055;2001;1001;current account; 2024-08-30 16:57;20:53:44;Fr;-58.10;supermarket depitpayment;DE99 7877 2191 1533 9792 99;1196.66;
100054;2001;1001;current account; 2024-08-30 13:57;11:26:18;Fr;-65.32;ARMAZONE prime order;DE99 613 8013 6042 6898 99;1254.76;
100053;2001;1001;current account; 2024-08-30 10:57;06:16:12;Fr;73.93;MyPart of the Rent;DE99 3523 606 4021 6610 99;1320.08;
100052;2001;1001;current account; 2024-08-30 07:57;07:57:27;Fr;66.08;tax return;DE99 8310 1817 7408 2894 99;1246.15;
100051;2001;1001;current account; 2024-08-29 23:33;23:33:16;Do;-35.80;supermarket depitpayment;DE99 1990 6804 9959 8123 99;1180.07;
100050;2001;1001;current account; 2024-08-28 07:47;07:47:22;Mi;-92.01;cinema xtraMovie;DE99 8419 8916 4656 8003 99;1215.86;
100049;2001;1001;current account; 2024-08-27 23:34;23:34:21;Di;83.25;moneyCollector: your friends reached your goal;DE99 8743 3122 1414 2932 99;1307.87;
100048;2001;1001;current account; 2024-08-23 22:36;22:36:47;Fr;-184.31;LIDDL lohnt sich supermarket;DE99 5235 3206 4215 5292 99;1224.63;
100047;2001;1001;current account; 2024-08-21 08:53;16:55:32;Mi;104.14;MyPart of the Rent;DE99 7235 3164 9976 8297 99;1408.94;
